id,name,description
1,Sriracha,"A type of hot sauce or chili sauce made from a paste of chili peppers, distilled vinegar, garlic, sugar, and salt."
2,Avocado,"A fruit with a creamy texture and a single large seed, known for its rich, buttery, and mildly nutty flavor."
3,Bacon,"A type of salt-cured pork, typically cut into thin strips and pan-fried or baked until crispy."
4,Balsamic Vinegar,"A dark, concentrated, and intensely flavored vinegar originating in Italy, made wholly or partially from grape must."
5,Blue Cheese,A classification of cheeses that have had cultures of the mold Penicillium added so the final product is spotted or veined.
6,Broccoli,"An edible green plant in the cabbage family whose large flowering head, stalk, and small associated leaves are eaten as a vegetable."
7,Butter,A dairy product made from the fat and protein components of churned cream.
8,Potato Chips,Thin slices of potato that have been either deep-fried or baked until crunchy. They are commonly served as a snack.
9,Ketchup,"A sweet and tangy table sauce typically made from tomatoes, sugar, vinegar, and seasonings."
10,Wasabi,"A plant of the Brassicaceae family, which includes cabbages and horseradish. Its rhizome is used as a pungent condiment."
11,Olives,"A small oval fruit with a hard stone and bitter flesh, green when unripe and bluish-black when ripe, used as food and as a source of oil."
12,Honey,"A sweet, viscous food substance produced by honey bees and some related insects."
13,Greek Yogurt,"A type of yogurt which has been strained to remove most of its whey, resulting in a thicker consistency and a tart flavor."
14,Espresso,"A full-flavored, concentrated form of coffee that is served in ""shots."""
15,Pad Thai,A stir-fried rice noodle dish commonly served as a street food and at casual local eateries in Thailand.
16,Pickles,"A cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time."
17,Tofu,A food prepared by coagulating soy milk and then pressing the resulting curds into solid white blocks of varying softness.
18,Ginger,"A flowering plant whose rhizome, ginger root or ginger, is widely used as a spice and a folk medicine."
19,Mango,"A stone fruit produced from numerous species of tropical trees, known for its sweet and sometimes tangy taste."
20,Miso Soup,A traditional Japanese soup consisting of a dashi stock into which softened miso paste is mixed.
21,Guacamole,"An avocado-based dip, spread, or salad first developed in Mexico, often containing lime juice, cilantro, and onions."
22,Salmon,A common food fish classified as an oily fish with a rich content of protein and omega-3 fatty acids.
23,Red Wine,"An alcoholic beverage made from fermented grapes, known for its complex flavor profile that can include notes of fruit, oak, and tannins."
24,Kale,"A green, leafy, cruciferous vegetable that is rich in nutrients, with a slightly bitter, earthy flavor."
25,Sourdough Bread,"A bread made by the fermentation of dough using naturally occurring lactobacilli and yeast, known for its characteristic tangy taste."
26,Hummus,"A Middle Eastern dip, spread, or savory dish made from cooked, mashed chickpeas blended with tahini, lemon juice, and garlic."
27,Tiramisu,"A coffee-flavoured Italian dessert made of ladyfingers dipped in coffee, layered with a whipped mixture of eggs, sugar, and mascarpone cheese."
28,Artichoke,"A variety of a species of thistle cultivated as a food, with a tender heart and a mild, slightly nutty flavor."
29,Steak,"A cut of meat, typically beef, sliced perpendicular to the muscle fibers and grilled or fried."
30,Lime,"A citrus fruit which is typically round, green in color, and contains acidic juice vesicles."
31,Mayonnaise,"A thick, cold, and creamy sauce or dressing commonly used on sandwiches and composed salads, made from oil, egg yolk, and an acid."
32,Mustard,"A condiment made from whole, ground, or cracked mustard seeds, mixed with water, vinegar, or other liquids."
33,Onion,"A vegetable that is the most widely cultivated species of the genus Allium, known for its pungent and sharp flavor."
34,Orange Juice,"The liquid extract of the fruit of the orange tree, produced by squeezing or reaming oranges."
35,Peanut Butter,"A food paste or spread made from ground, dry-roasted peanuts."
36,Popcorn,A variety of corn kernel which expands and puffs up when heated.
37,Quinoa,A flowering plant in the amaranth family. It is a herbaceous annual plant grown as a crop primarily for its edible seeds.
38,Raspberry,"An edible soft fruit, consisting of a cluster of reddish-pink drupelets."
39,Rice (White),"The polished seed of the grass species Oryza sativa. As a cereal grain, it is the most widely consumed staple food for a large part of the world's human population."
40,Sauerkraut,"Finely cut raw cabbage that has been fermented by various lactic acid bacteria, with a distinct sour flavor."
41,Shrimp,"Decapod crustaceans with elongated bodies, commonly used in cooking and known for their mildly sweet and savory flavor."
42,Spinach,"A leafy green flowering plant native to central and western Asia, with a mild, slightly earthy taste."
43,Strawberry,"A widely grown hybrid species of the genus Fragaria, known for its characteristic aroma, bright red color, juicy texture, and sweetness."
44,Sweet Potato,"A large, starchy, sweet-tasting, tuberous root vegetable."
45,Tuna (Canned),"A saltwater fish that belongs to the mackerel family, preserved in a can, often in oil or water."
46,Turkey (Roasted),"The meat from a large bird, especially one that is raised for food, cooked with dry heat in an oven."
47,Watermelon,"A large fruit of a plant of the gourd family, with smooth green skin, reddish pulp, and watery juice."
48,Cilantro,"An annual herb in the family Apiaceae. All parts of the plant are edible, but the fresh leaves and the dried seeds are the parts most traditionally used in cooking."
49,Anchovies,"A small, common forage fish of the family Engraulidae, often salt-cured and packed in oil."
50,Chickpeas,"An annual legume of the family Fabaceae, also known as garbanzo bean, with a nutty taste and granular texture."
